paper_title,paper_authors
IDA-3D: Instance-Depth-Aware 3D Object Detection From Stereo Vision for Autonomous Driving,"Wanli Peng, Hao Pan, He Liu, Yi Sun"
FroDO: From Detections to 3D Objects,"Martin Runz, Kejie Li, Meng Tang, Lingni Ma, Chen Kong, Tanner Schmidt, Ian Reid, Lourdes Agapito, Julian Straub, Steven Lovegrove, Richard Newcombe"
Advisable Learning for Self-Driving Vehicles by Internalizing Observation-to-Action Rules,"Jinkyu Kim, Suhong Moon, Anna Rohrbach, Trevor Darrell, John Canny"
Dual Super-Resolution Learning for Semantic Segmentation,"Li Wang, Dong Li, Yousong Zhu, Lu Tian, Yi Shan"
KeypointNet: A Large-Scale 3D Keypoint Dataset Aggregated From Numerous Human Annotations,"Yang You, Yujing Lou, Chengkun Li, Zhoujun Cheng, Liangwei Li, Lizhuang Ma, Cewu Lu, Weiming Wang"
Lightweight Multi-View 3D Pose Estimation Through Camera-Disentangled Representation,"Edoardo Remelli, Shangchen Han, Sina Honari, Pascal Fua, Robert Wang"
Deep Unfolding Network for Image Super-Resolution,"Kai Zhang, Luc Van Gool, Radu Timofte"
Bridging the Gap Between Anchor-Based and Anchor-Free Detection via Adaptive Training Sample Selection,"Shifeng Zhang, Cheng Chi, Yongqiang Yao, Zhen Lei, Stan Z. Li"
Robust Design of Deep Neural Networks Against Adversarial Attacks Based on Lyapunov Theory,"Arash Rahnama, Andre T. Nguyen, Edward Raff"
Unsupervised Learning for Intrinsic Image Decomposition From a Single Image,"Yunfei Liu, Yu Li, Shaodi You, Feng Lu"
Structure Aware Single-Stage 3D Object Detection From Point Cloud,"Chenhang He, Hui Zeng, Jianqiang Huang, Xian-Sheng Hua, Lei Zhang"
Cross-Modal Deep Face Normals With Deactivable Skip Connections,"Victoria Fernandez Abrevaya, Adnane Boukhayma, Philip H.S. Torr, Edmond Boyer"
COCAS: A Large-Scale Clothes Changing Person Dataset for Re-Identification,"Shijie Yu, Shihua Li, Dapeng Chen, Rui Zhao, Junjie Yan, Yu Qiao"
MINA: Convex Mixed-Integer Programming for Non-Rigid Shape Alignment,"Florian Bernard, Zeeshan Khan Suri, Christian Theobalt"
Progressive Adversarial Networks for Fine-Grained Domain Adaptation,"Sinan Wang, Xinyang Chen, Yunbo Wang, Mingsheng Long, Jianmin Wang"
Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,"Thomas Verelst, Tinne Tuytelaars"
Enhanced Transport Distance for Unsupervised Domain Adaptation,"Mengxue Li, Yi-Ming Zhai, You-Wei Luo, Peng-Fei Ge, Chuan-Xian Ren"
ActBERT: Learning Global-Local Video-Text Representations,"Linchao Zhu, Yi Yang"
Alleviation of Gradient Exploding in GANs: Fake Can Be Real,"Song Tao, Jia Wang"
A Local-to-Global Approach to Multi-Modal Movie Scene Segmentation,"Anyi Rao, Linning Xu, Yu Xiong, Guodong Xu, Qingqiu Huang, Bolei Zhou, Dahua Lin"
Towards Visually Explaining Variational Autoencoders,"Wenqian Liu, Runze Li, Meng Zheng, Srikrishna Karanam, Ziyan Wu, Bir Bhanu, Richard J. Radke, Octavia Camps"
Forward and Backward Information Retention for Accurate Binary Neural Networks,"Haotong Qin, Ruihao Gong, Xianglong Liu, Mingzhu Shen, Ziran Wei, Fengwei Yu, Jingkuan Song"
TA-Student VQA: Multi-Agents Training by Self-Questioning,"Peixi Xiong, Ying Wu"
CenterMask: Single Shot Instance Segmentation With Point Representation,"Yuqing Wang, Zhaoliang Xu, Hao Shen, Baoshan Cheng, Lirong Yang"
Cooling-Shrinking Attack: Blinding the Tracker With Imperceptible Noises,"Bin Yan, Dong Wang, Huchuan Lu, Xiaoyun Yang"
Deep Structure-Revealed Network for Texture Recognition,"Wei Zhai, Yang Cao, Zheng-Jun Zha, HaiYong Xie, Feng Wu"
BidNet: Binocular Image Dehazing Without Explicit Disparity Estimation,"Yanwei Pang, Jing Nie, Jin Xie, Jungong Han, Xuelong Li"
Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution,"Xiaoyu Xiang, Yapeng Tian, Yulun Zhang, Yun Fu, Jan P. Allebach, Chenliang Xu"
Dynamic Traffic Modeling From Overhead Imagery,"Scott Workman, Nathan Jacobs"
